Academic Vocabulary List - Core Academic Words
Source file: acadCore.xlsx
Each entry contains rank, word, part of speech, academic frequency, ratio, dispersion, and range.

Rank 1: study (n). Academic frequency: 137208; ratio: 2.5235099227903999; dispersion: 0.92650893496804898; range: 8.
Rank 1024: ironically (r). Academic frequency: 2365; ratio: 1.52678055005449; dispersion: 0.93069594523413401; range: 9.
Rank 1025: progress (v). Academic frequency: 2365; ratio: 1.5931623131003301; dispersion: 0.94389260202690894; range: 8.
Rank 1026: separately (r). Academic frequency: 2364; ratio: 1.7956087016517499; dispersion: 0.92101909636517099; range: 9.
Rank 1027: policymaker (n). Academic frequency: 2350; ratio: 2.2756454287281498; dispersion: 0.90101897129118502; range: 8.
Rank 1028: operational (j). Academic frequency: 2349; ratio: 2.11663208476583; dispersion: 0.89171395805245701; range: 9.
Rank 1029: horizontal (j). Academic frequency: 2347; ratio: 2.0664393018954201; dispersion: 0.86015006021878304; range: 8.
Rank 1030: marital (j). Academic frequency: 2345; ratio: 2.1792000864851699; dispersion: 0.85343937008797299; range: 8.
Rank 1031: revise (v). Academic frequency: 2340; ratio: 1.9090675632505301; dispersion: 0.94347919477946396; range: 9.
Rank 1032: align (v). Academic frequency: 2338; ratio: 1.97508197918199; dispersion: 0.91895157524621895; range: 9.
Rank 1033: psychiatric (j). Academic frequency: 2336; ratio: 1.7504197787176099; dispersion: 0.85331678774410802; range: 8.
Rank 1034: parallel (j). Academic frequency: 2335; ratio: 2.0123578727704698; dispersion: 0.91482769741377301; range: 8.
Rank 1035: reduced (j). Academic frequency: 2329; ratio: 2.0536893739059701; dispersion: 0.90744945317339598; range: 9.
Rank 1036: purely (r). Academic frequency: 2324; ratio: 1.62949390456062; dispersion: 0.93345767875071906; range: 9.
Rank 1037: reproductive (j). Academic frequency: 2321; ratio: 1.9564727474079999; dispersion: 0.86993823967416395; range: 7.
Rank 1038: prejudice (n). Academic frequency: 2320; ratio: 1.6687933861651301; dispersion: 0.89573126652334001; range: 7.
Rank 1039: notable (j). Academic frequency: 2313; ratio: 1.6305969562482501; dispersion: 0.94490546582007595; range: 9.
Rank 1040: exert (v). Academic frequency: 2310; ratio: 2.1185621568994599; dispersion: 0.93747959564120897; range: 8.
Rank 1041: inhabitant (n). Academic frequency: 2305; ratio: 1.9738719419509201; dispersion: 0.90535918681313299; range: 7.
Rank 1042: absent (j). Academic frequency: 2303; ratio: 1.7900464357104; dispersion: 0.94607468308950204; range: 8.
Rank 1043: dominance (n). Academic frequency: 2297; ratio: 2.15345372412036; dispersion: 0.91969880493683998; range: 8.
Rank 1044: hostility (n). Academic frequency: 2295; ratio: 1.6353574444093599; dispersion: 0.90851089609095104; range: 8.
Rank 1045: embed (v). Academic frequency: 2289; ratio: 1.99679545304977; dispersion: 0.92667167002961803; range: 8.
Rank 1046: extract (v). Academic frequency: 2288; ratio: 1.5119145800454401; dispersion: 0.90055188840640299; range: 9.
Rank 1047: subject (v). Academic frequency: 2286; ratio: 1.7643006792812099; dispersion: 0.94843337872863898; range: 8.
Rank 1048: individually (r). Academic frequency: 2285; ratio: 2.0348755323036301; dispersion: 0.94123312017338401; range: 8.
Rank 1049: competing (j). Academic frequency: 2269; ratio: 1.8711976379939601; dispersion: 0.93576165681896295; range: 9.
Rank 1050: normative (j). Academic frequency: 2266; ratio: 3.34370012822564; dispersion: 0.91190446649582002; range: 8.
Rank 1051: suppress (v). Academic frequency: 2256; ratio: 1.5046827648513801; dispersion: 0.93773010834098203; range: 8.
Rank 1052: endeavor (n). Academic frequency: 2252; ratio: 1.8567407958431501; dispersion: 0.94372943546495702; range: 8.
Rank 1053: contrary (n). Academic frequency: 2245; ratio: 1.7598090525585499; dispersion: 0.93023686903118896; range: 8.
Rank 1054: disagreement (n). Academic frequency: 2237; ratio: 1.53258742452187; dispersion: 0.92767271643235005; range: 8.
Rank 1055: advisory (j). Academic frequency: 2235; ratio: 1.5096549284277301; dispersion: 0.87790904327194197; range: 9.
Rank 1056: mediate (v). Academic frequency: 2214; ratio: 2.6378080239771902; dispersion: 0.91980595607076099; range: 8.
Rank 1057: neglect (v). Academic frequency: 2207; ratio: 1.52969252975103; dispersion: 0.94349585871613695; range: 9.
Rank 1058: fundamentally (r). Academic frequency: 2203; ratio: 1.7253411551729601; dispersion: 0.93840459580395796; range: 8.
Rank 1059: reported (j). Academic frequency: 2199; ratio: 2.0749107920383798; dispersion: 0.90341106988616504; range: 9.
Rank 1060: territorial (j). Academic frequency: 2195; ratio: 2.37221839312671; dispersion: 0.88296388879814802; range: 7.
Rank 1061: precision (n). Academic frequency: 2195; ratio: 1.68848585099528; dispersion: 0.85194755941471001; range: 9.
Rank 1062: ambiguity (n). Academic frequency: 2195; ratio: 2.4415462495967399; dispersion: 0.91401316698945101; range: 8.
Rank 1063: farming (n). Academic frequency: 2190; ratio: 1.5056900941146001; dispersion: 0.87673456325544696; range: 9.
Rank 1064: preservation (n). Academic frequency: 2172; ratio: 1.5223080563387099; dispersion: 0.91092987925226399; range: 7.
Rank 1065: lesser (j). Academic frequency: 2168; ratio: 1.5417231303704999; dispersion: 0.94246663161823896; range: 9.
Rank 1066: applicable (j). Academic frequency: 2168; ratio: 2.6891408763529299; dispersion: 0.92494509626545796; range: 8.
Rank 1067: cultivate (v). Academic frequency: 2167; ratio: 1.7214027007857; dispersion: 0.94102976800249005; range: 9.
Rank 1068: situate (v). Academic frequency: 2167; ratio: 2.10717664678238; dispersion: 0.92469401176340904; range: 8.
Rank 1069: precede (v). Academic frequency: 2163; ratio: 1.73833756014218; dispersion: 0.93942780047971897; range: 8.
Rank 1070: static (j). Academic frequency: 2162; ratio: 1.8860077629941501; dispersion: 0.89862393055388501; range: 8.
Rank 1071: differential (j). Academic frequency: 2161; ratio: 3.2714801434403502; dispersion: 0.89277849672191401; range: 7.
Rank 1072: continually (r). Academic frequency: 2159; ratio: 1.7038382677519901; dispersion: 0.94284272499067501; range: 9.
Rank 1073: vulnerability (n). Academic frequency: 2159; ratio: 1.84794191982781; dispersion: 0.91989937511591602; range: 8.
Rank 1074: selective (j). Academic frequency: 2156; ratio: 2.0051595291826501; dispersion: 0.93834102456712998; range: 9.
Rank 1075: pathway (n). Academic frequency: 2155; ratio: 2.08912625650379; dispersion: 0.88797341967662802; range: 8.
Rank 1076: autonomous (j). Academic frequency: 2148; ratio: 2.6446599565136801; dispersion: 0.91732757618209904; range: 7.
Rank 1077: confine (v). Academic frequency: 2147; ratio: 1.6136319655385101; dispersion: 0.93354821895944395; range: 8.
Rank 1078: undoubtedly (r). Academic frequency: 2147; ratio: 1.71446096406931; dispersion: 0.93347233294931597; range: 8.
Rank 1079: predominantly (r). Academic frequency: 2144; ratio: 1.88202721504162; dispersion: 0.93317147898286601; range: 8.
Rank 1080: fulfill (v). Academic frequency: 2134; ratio: 1.6365288374926199; dispersion: 0.94920230148643803; range: 8.
Rank 1081: proponent (n). Academic frequency: 2132; ratio: 1.7673739332929399; dispersion: 0.92857138619555402; range: 8.
Rank 1082: hemisphere (n). Academic frequency: 2127; ratio: 2.1426580983384702; dispersion: 0.86734447564175599; range: 7.
Rank 1083: elicit (v). Academic frequency: 2124; ratio: 2.24219921108882; dispersion: 0.936534026808575; range: 8.
Rank 1084: hypothesize (v). Academic frequency: 2122; ratio: 3.2646623925394; dispersion: 0.88530016204706796; range: 7.
Rank 1085: trajectory (n). Academic frequency: 2105; ratio: 2.2919292893169101; dispersion: 0.87157980841359495; range: 8.
Rank 1086: underlie (v). Academic frequency: 2103; ratio: 2.6412630619373099; dispersion: 0.94494773312668501; range: 8.
Rank 1087: analytical (j). Academic frequency: 2103; ratio: 2.5030052402043599; dispersion: 0.92743560550885995; range: 9.
Rank 1088: replicate (v). Academic frequency: 2090; ratio: 2.12186742859629; dispersion: 0.92741568692696197; range: 9.
Rank 1089: parallel (n). Academic frequency: 2088; ratio: 1.8804829175583; dispersion: 0.92215115651788504; range: 8.
Rank 1090: improving (j). Academic frequency: 2079; ratio: 1.92434662530741; dispersion: 0.92950966204303298; range: 9.
Rank 1091: synthesis (n). Academic frequency: 2079; ratio: 2.9142527155876499; dispersion: 0.90405006557809198; range: 8.
Rank 1092: fertility (n). Academic frequency: 2073; ratio: 1.83210342005354; dispersion: 0.861604740502255; range: 7.
Rank 1093: adaptive (j). Academic frequency: 2070; ratio: 2.9404823462917702; dispersion: 0.86723569664852895; range: 7.
Rank 1094: underscore (v). Academic frequency: 2068; ratio: 1.73943929998733; dispersion: 0.93084052109447901; range: 8.
Rank 1095: causal (j). Academic frequency: 2067; ratio: 3.2182233067880399; dispersion: 0.90272014375760001; range: 8.
Rank 1096: allocate (v). Academic frequency: 2066; ratio: 2.2069196546935101; dispersion: 0.93303524899609802; range: 9.
Rank 1097: realization (n). Academic frequency: 2059; ratio: 1.65475591138823; dispersion: 0.93433757265716699; range: 8.
Rank 1098: paragraph (n). Academic frequency: 2057; ratio: 1.74697267236395; dispersion: 0.91833538401246395; range: 8.
Rank 1099: beta (n). Academic frequency: 2043; ratio: 2.30023989833537; dispersion: 0.82646741137134605; range: 7.
Rank 1100: overview (n). Academic frequency: 2042; ratio: 2.2627355996651999; dispersion: 0.938556350076857; range: 8.
Rank 1101: composite (j). Academic frequency: 2041; ratio: 2.1749065447538198; dispersion: 0.88403237073234098; range: 8.
Rank 1102: privatization (n). Academic frequency: 2040; ratio: 2.12976783457963; dispersion: 0.82829243595981805; range: 7.
Rank 1103: characteristic (j). Academic frequency: 2037; ratio: 2.3340106513537902; dispersion: 0.92929867042305703; range: 8.
Rank 1104: hierarchical (j). Academic frequency: 2027; ratio: 3.1253723741644501; dispersion: 0.89777077807398198; range: 7.
Rank 1105: linkage (n). Academic frequency: 2021; ratio: 2.60460475835173; dispersion: 0.90467502287234403; range: 8.
Rank 1106: constrain (v). Academic frequency: 2015; ratio: 2.57507357487439; dispersion: 0.92644452753759898; range: 8.
Rank 1107: mobilize (v). Academic frequency: 2011; ratio: 1.9078014737555999; dispersion: 0.89698670382107903; range: 8.
Rank 1108: disposition (n). Academic frequency: 2010; ratio: 2.30156757709319; dispersion: 0.887058532679041; range: 8.
Rank 1109: broadly (r). Academic frequency: 2006; ratio: 1.84313495020391; dispersion: 0.94131504927523801; range: 9.
Rank 1110: viewpoint (n). Academic frequency: 2002; ratio: 1.7974822922315901; dispersion: 0.92161462432795804; range: 8.
Rank 1111: import (v). Academic frequency: 1998; ratio: 1.55263528277393; dispersion: 0.912401310520633; range: 7.
Rank 1112: harmful (j). Academic frequency: 1989; ratio: 1.6839120609890199; dispersion: 0.92655286049131802; range: 8.
Rank 1113: applicant (n). Academic frequency: 1986; ratio: 1.5190379024918499; dispersion: 0.90050908849760802; range: 9.
Rank 1114: insufficient (j). Academic frequency: 1979; ratio: 2.2862568114288599; dispersion: 0.940922727616198; range: 8.
Rank 1115: modified (j). Academic frequency: 1972; ratio: 2.2153138509060302; dispersion: 0.89616071513112605; range: 8.
Rank 1116: thinker (n). Academic frequency: 1968; ratio: 1.9319111067424199; dispersion: 0.90637312624029098; range: 7.
Rank 1117: documentation (n). Academic frequency: 1965; ratio: 2.1295642683711802; dispersion: 0.92848444452253098; range: 9.
Rank 1118: successor (n). Academic frequency: 1963; ratio: 1.50374512652491; dispersion: 0.91451889689730104; range: 8.
Rank 1119: provincial (j). Academic frequency: 1962; ratio: 1.8527824661446499; dispersion: 0.89003145171859099; range: 8.
Rank 1120: proliferation (n). Academic frequency: 1961; ratio: 2.0189990578016501; dispersion: 0.91335793177816904; range: 8.
Rank 1121: reliance (n). Academic frequency: 1960; ratio: 2.1919879293204798; dispersion: 0.936646815233937; range: 8.
Rank 1122: formally (r). Academic frequency: 1958; ratio: 1.5497538492180101; dispersion: 0.93422759437790903; range: 8.
Rank 1123: academic (n). Academic frequency: 1957; ratio: 1.7552790573923001; dispersion: 0.92407145339758701; range: 9.
Rank 1124: categorize (v). Academic frequency: 1956; ratio: 2.6485335851425198; dispersion: 0.914385984965843; range: 8.
Rank 1125: exploitation (n). Academic frequency: 1954; ratio: 2.1790142272027402; dispersion: 0.91357073713485004; range: 7.
Rank 1126: collaborate (v). Academic frequency: 1951; ratio: 1.8414015921222899; dispersion: 0.93164069328555199; range: 9.
Rank 1127: abundant (j). Academic frequency: 1950; ratio: 1.8489299533963499; dispersion: 0.85709241347633702; range: 8.
Rank 1128: varied (j). Academic frequency: 1948; ratio: 1.9225183596761; dispersion: 0.937461082935239; range: 8.
Rank 1129: interference (n). Academic frequency: 1947; ratio: 1.94012337827257; dispersion: 0.90320167371029403; range: 8.
Rank 1130: variable (j). Academic frequency: 1946; ratio: 2.6177840808178399; dispersion: 0.86462719905477003; range: 8.
Rank 1131: verify (v). Academic frequency: 1943; ratio: 1.57199334466865; dispersion: 0.912771806496667; range: 9.
Rank 1132: instability (n). Academic frequency: 1943; ratio: 2.1401658369694698; dispersion: 0.91803092781567897; range: 8.
Rank 1133: conform (v). Academic frequency: 1939; ratio: 2.23268031575207; dispersion: 0.94562576403024701; range: 8.
Rank 1134: map (v). Academic frequency: 1938; ratio: 1.89238127476885; dispersion: 0.86136265930870604; range: 8.
Rank 1135: ground (v). Academic frequency: 1937; ratio: 1.6964926619409999; dispersion: 0.92827686348893101; range: 8.
Rank 1136: advancement (n). Academic frequency: 1937; ratio: 2.0210302927413899; dispersion: 0.93409302207507705; range: 8.
Rank 1137: validate (v). Academic frequency: 1934; ratio: 2.39889227622997; dispersion: 0.93102641630072003; range: 8.
Rank 1138: destructive (j). Academic frequency: 1931; ratio: 1.6720000319372601; dispersion: 0.92340231847293797; range: 8.
Rank 1139: recreational (j). Academic frequency: 1928; ratio: 1.6953951186618199; dispersion: 0.86676367561059697; range: 8.
Rank 1140: warrant (v). Academic frequency: 1925; ratio: 1.7164651377307001; dispersion: 0.94165245819738497; range: 8.
Rank 1141: disadvantage (n). Academic frequency: 1925; ratio: 1.85895162599792; dispersion: 0.93051733264283398; range: 9.
Rank 1142: term (v). Academic frequency: 1920; ratio: 2.0286815484199199; dispersion: 0.94326055634488404; range: 8.
Rank 1143: coherent (j). Academic frequency: 1919; ratio: 2.2024087389651399; dispersion: 0.92832994410528302; range: 8.
Rank 1144: intermediate (j). Academic frequency: 1914; ratio: 2.0768643068415802; dispersion: 0.90602129693783495; range: 9.
Rank 1145: empower (v). Academic frequency: 1913; ratio: 1.7637018244594; dispersion: 0.94592230310567904; range: 9.
Rank 1146: prevalent (j). Academic frequency: 1905; ratio: 2.17351802484492; dispersion: 0.92984917725241201; range: 8.
Rank 1147: sustained (j). Academic frequency: 1905; ratio: 1.8875288110495301; dispersion: 0.93888376658168504; range: 8.
Rank 1148: aging (n). Academic frequency: 1904; ratio: 1.7614333498990999; dispersion: 0.86594306297387302; range: 7.
Rank 1149: compatible (j). Academic frequency: 1902; ratio: 2.2045753232724699; dispersion: 0.92182558197404396; range: 9.
Rank 1150: monopoly (n). Academic frequency: 1900; ratio: 1.5735617014768699; dispersion: 0.888395615632814; range: 7.
Rank 1151: ambiguous (j). Academic frequency: 1898; ratio: 2.2175561214822301; dispersion: 0.92163774196303205; range: 8.
Rank 1152: interdisciplinary (j). Academic frequency: 1891; ratio: 3.1014072945739901; dispersion: 0.906298948248487; range: 8.
Rank 1153: disparity (n). Academic frequency: 1887; ratio: 2.0206416570004802; dispersion: 0.90964234168295699; range: 8.
Rank 1154: prevailing (j). Academic frequency: 1884; ratio: 2.0667272718510898; dispersion: 0.93763554516140502; range: 8.
Rank 1155: disruption (n). Academic frequency: 1875; ratio: 2.0065645329523001; dispersion: 0.90939107368426697; range: 8.
Rank 1156: radically (r). Academic frequency: 1873; ratio: 1.95308992675938; dispersion: 0.92607653498415798; range: 8.
